code wahlberechtigte waehler nichtwaehler wahlbeteiligung_pct gemeinde art_der_stimme ungueltige_stimmen ungueltige_stimmen_pct gueltige_stimmen csu_absolut csu spd_absolut spd gruene_absolut gruene linke_absolut linke sonstige_absolut sonstige jahr region
576111 4306 3146 1160 73.1 Abenberg, St E 27 0.9 3119 1762 56.5 701 22.5 198 6.3 127 4.1 331 10.6 2013 gemeinde
576111 4306 3146 1160 73.1 Abenberg, St Z 21 0.7 3125 1576 50.4 665 21.3 211 6.8 119 3.8 554 17.7 2013 gemeinde
273111 9737 6714 3023 69 Abensberg, St E 72 1.1 6642 3785 57 1303 19.6 529 8 194 2.9 831 12.5 2013 gemeinde
273111 9737 6714 3023 69 Abensberg, St Z 62 0.9 6652 3505 52.7 1232 18.5 479 7.2 201 3 1235 18.6 2013 gemeinde
577111 1086 727 359 66.9 Absberg, M E 8 1.1 719 468 65.1 123 17.1 30 4.2 16 2.2 82 11.4 2013 gemeinde
577111 1086 727 359 66.9 Absberg, M Z 10 1.4 717 425 59.3 111 15.5 43 6 18 2.5 120 16.7 2013 gemeinde
675111 686 505 181 73.6 Abtswind, M E 7 1.4 498 319 64.1 94 18.9 23 4.6 14 2.8 48 9.6 2013 gemeinde
675111 686 505 181 73.6 Abtswind, M Z 5 1 500 283 56.6 98 19.6 22 4.4 11 2.2 86 17.2 2013 gemeinde
276111 761 485 276 63.7 Achslach E 6 1.2 479 322 67.2 45 9.4 21 4.4 9 1.9 82 17.1 2013 gemeinde
276111 761 485 276 63.7 Achslach Z 8 1.6 477 307 64.4 59 12.4 14 2.9 6 1.3 91 19.1 2013 gemeinde
176111 2265 1751 514 77.3 Adelschlag E 12 0.7 1739 1183 68 247 14.2 82 4.7 47 2.7 180 10.4 2013 gemeinde
176111 2265 1751 514 77.3 Adelschlag Z 16 0.9 1735 1062 61.2 271 15.6 87 5 36 2.1 279 16.1 2013 gemeinde
572111 5866 4245 1621 72.4 Adelsdorf E 28 0.7 4217 2312 54.8 1006 23.9 204 4.8 142 3.4 553 13.1 2013 gemeinde
572111 5866 4245 1621 72.4 Adelsdorf Z 27 0.6 4218 1995 47.3 1019 24.2 270 6.4 156 3.7 778 18.4 2013 gemeinde
179111 1247 966 281 77.5 Adelshofen E 6 0.6 960 561 58.4 137 14.3 88 9.2 22 2.3 152 15.8 2013 gemeinde
